target
>140K
<60K
<60K
60K - 80K
100K - 140K
100K - 140K
100K - 140K
<60K
<60K
80K - 100K
80K - 100K
<60K
100K - 140K
>140K
80K - 100K
>140K
100K - 140K
100K - 140K
100K - 140K
<60K
100K - 140K
60K - 80K
>140K
100K - 140K
80K - 100K
100K - 140K
<60K
>140K
>140K
<60K
100K - 140K
<60K
100K - 140K
>140K
60K - 80K
100K - 140K
>140K
100K - 140K
>140K
100K - 140K
100K - 140K
100K - 140K
<60K
80K - 100K
80K - 100K
<60K
<60K
100K - 140K
100K - 140K
60K - 80K
>140K
100K - 140K
60K - 80K
100K - 140K
<60K
60K - 80K
60K - 80K
60K - 80K
60K - 80K
<60K
60K - 80K
80K - 100K
<60K
60K - 80K
>140K
80K - 100K
80K - 100K
100K - 140K
<60K
60K - 80K
<60K
60K - 80K
100K - 140K
60K - 80K
60K - 80K
60K - 80K
60K - 80K
80K - 100K
60K - 80K
<60K
<60K
60K - 80K
<60K
60K - 80K
100K - 140K
60K - 80K
60K - 80K
80K - 100K
100K - 140K
>140K
80K - 100K
<60K
60K - 80K
60K - 80K
60K - 80K
100K - 140K
80K - 100K
<60K
80K - 100K
>140K
>140K
100K - 140K
60K - 80K
<60K
60K - 80K
<60K
>140K
<60K
80K - 100K
60K - 80K
>140K
<60K
<60K
60K - 80K
80K - 100K
60K - 80K
60K - 80K
60K - 80K
60K - 80K
<60K
80K - 100K
60K - 80K
<60K
60K - 80K
80K - 100K
60K - 80K
60K - 80K
<60K
<60K
<60K
>140K
80K - 100K
60K - 80K
>140K
<60K
100K - 140K
<60K
60K - 80K
100K - 140K
100K - 140K
60K - 80K
<60K
80K - 100K
100K - 140K
80K - 100K
>140K
60K - 80K
<60K
100K - 140K
80K - 100K
60K - 80K
>140K
100K - 140K
80K - 100K
60K - 80K
60K - 80K
<60K
100K - 140K
100K - 140K
60K - 80K
60K - 80K
>140K
<60K
<60K
100K - 140K
80K - 100K
<60K
>140K
<60K
>140K
60K - 80K
100K - 140K
80K - 100K
100K - 140K
100K - 140K
100K - 140K
100K - 140K
>140K
>140K
>140K
>140K
100K - 140K
100K - 140K
>140K
>140K
>140K
>140K
100K - 140K
>140K
100K - 140K
>140K
>140K
>140K
100K - 140K
100K - 140K
100K - 140K
>140K
100K - 140K
60K - 80K
>140K
60K - 80K
80K - 100K
>140K
>140K
100K - 140K
100K - 140K
60K - 80K
60K - 80K
<60K
<60K
60K - 80K
60K - 80K
<60K
80K - 100K
60K - 80K
100K - 140K
60K - 80K
<60K
<60K
<60K
60K - 80K
<60K
<60K
<60K
80K - 100K
<60K
<60K
<60K
<60K
60K - 80K
60K - 80K
60K - 80K
100K - 140K
60K - 80K
100K - 140K
<60K
60K - 80K
60K - 80K
100K - 140K
<60K
<60K
<60K
<60K
60K - 80K
60K - 80K
100K - 140K
<60K
60K - 80K
80K - 100K
60K - 80K
100K - 140K
<60K
60K - 80K
80K - 100K
<60K
<60K
80K - 100K
80K - 100K
80K - 100K
60K - 80K
80K - 100K
<60K
60K - 80K
80K - 100K
<60K
100K - 140K
<60K
80K - 100K
<60K
<60K
80K - 100K
<60K
60K - 80K
60K - 80K
60K - 80K
60K - 80K
80K - 100K
100K - 140K
100K - 140K
100K - 140K
60K - 80K
80K - 100K
>140K
100K - 140K
60K - 80K
60K - 80K
80K - 100K
80K - 100K
60K - 80K
80K - 100K
<60K
80K - 100K
<60K
<60K
<60K
80K - 100K
>140K
100K - 140K
100K - 140K
100K - 140K
<60K
>140K
60K - 80K
80K - 100K
60K - 80K
>140K
60K - 80K
<60K
100K - 140K
100K - 140K
80K - 100K
100K - 140K
100K - 140K
80K - 100K
60K - 80K
100K - 140K
60K - 80K
100K - 140K
80K - 100K
60K - 80K
60K - 80K
60K - 80K
<60K
60K - 80K
<60K
>140K
>140K
100K - 140K
>140K
100K - 140K
>140K
60K - 80K
100K - 140K
60K - 80K
80K - 100K
60K - 80K
80K - 100K
80K - 100K
100K - 140K
>140K
<60K
100K - 140K
<60K
<60K
>140K
80K - 100K
100K - 140K
<60K
<60K
80K - 100K
100K - 140K
80K - 100K
>140K
80K - 100K
80K - 100K
80K - 100K
100K - 140K
100K - 140K
100K - 140K
>140K
>140K
60K - 80K
<60K
80K - 100K
<60K
<60K
<60K
100K - 140K
<60K
60K - 80K
60K - 80K
60K - 80K
>140K
60K - 80K
<60K
100K - 140K
<60K
<60K
<60K
60K - 80K
100K - 140K
80K - 100K
>140K
<60K
100K - 140K
60K - 80K
<60K
60K - 80K
100K - 140K
>140K
60K - 80K
80K - 100K
<60K
>140K
<60K
100K - 140K
100K - 140K
<60K
<60K
100K - 140K
100K - 140K
<60K
>140K
>140K
<60K
>140K
>140K
<60K
<60K
60K - 80K
<60K
<60K
<60K
<60K
<60K
80K - 100K
<60K
<60K
60K - 80K
>140K
100K - 140K
>140K
>140K
<60K
<60K
80K - 100K
80K - 100K
80K - 100K
<60K
100K - 140K
60K - 80K
<60K
<60K
80K - 100K
60K - 80K
<60K
<60K
60K - 80K
>140K
<60K
60K - 80K
60K - 80K
<60K
<60K
<60K
<60K
<60K
60K - 80K
80K - 100K
<60K
<60K
<60K
100K - 140K
<60K
>140K
60K - 80K
100K - 140K
80K - 100K
60K - 80K
100K - 140K
100K - 140K
100K - 140K
80K - 100K
>140K
80K - 100K
>140K
100K - 140K
>140K
60K - 80K
<60K
60K - 80K
>140K
>140K
80K - 100K
60K - 80K
>140K
>140K
100K - 140K
100K - 140K
60K - 80K
60K - 80K
<60K
60K - 80K
<60K
<60K
100K - 140K
>140K
<60K
<60K
<60K
<60K
<60K
>140K
80K - 100K
100K - 140K
>140K
>140K
<60K
<60K
<60K
80K - 100K
100K - 140K
100K - 140K
80K - 100K
>140K
100K - 140K
60K - 80K
<60K
<60K
100K - 140K
60K - 80K
100K - 140K
100K - 140K
<60K
100K - 140K
60K - 80K
80K - 100K
<60K
<60K
60K - 80K
100K - 140K
80K - 100K
<60K
60K - 80K
<60K
80K - 100K
<60K
80K - 100K
<60K
60K - 80K
<60K
60K - 80K
100K - 140K
60K - 80K
60K - 80K
>140K
100K - 140K
100K - 140K
80K - 100K
100K - 140K
60K - 80K
100K - 140K
>140K
100K - 140K
<60K
60K - 80K
80K - 100K
60K - 80K
<60K
<60K
60K - 80K
100K - 140K
60K - 80K
<60K
60K - 80K
60K - 80K
100K - 140K
60K - 80K
100K - 140K
<60K
80K - 100K
80K - 100K
60K - 80K
80K - 100K
80K - 100K
60K - 80K
60K - 80K
<60K
80K - 100K
60K - 80K
60K - 80K
100K - 140K
100K - 140K
<60K
100K - 140K
100K - 140K
<60K
<60K
100K - 140K
100K - 140K
>140K
60K - 80K
60K - 80K
<60K
<60K
60K - 80K
100K - 140K
<60K
>140K
<60K
>140K
80K - 100K
>140K
>140K
60K - 80K
>140K
80K - 100K
80K - 100K
80K - 100K
100K - 140K
>140K
60K - 80K
<60K
60K - 80K
60K - 80K
100K - 140K
100K - 140K
80K - 100K
100K - 140K
100K - 140K
>140K
80K - 100K
>140K
100K - 140K
60K - 80K
60K - 80K
>140K
<60K
<60K
>140K
>140K
100K - 140K
60K - 80K
>140K
100K - 140K
100K - 140K
60K - 80K
80K - 100K
60K - 80K
<60K
60K - 80K
100K - 140K
80K - 100K
60K - 80K
80K - 100K
<60K
60K - 80K
80K - 100K
80K - 100K
<60K
>140K
<60K
80K - 100K
<60K
100K - 140K
60K - 80K
<60K
60K - 80K
100K - 140K
80K - 100K
80K - 100K
100K - 140K
80K - 100K
<60K
>140K
80K - 100K
>140K
<60K
<60K
80K - 100K
<60K
80K - 100K
60K - 80K
60K - 80K
100K - 140K
100K - 140K
100K - 140K
100K - 140K
100K - 140K
60K - 80K
>140K
<60K
<60K
60K - 80K
<60K
80K - 100K
60K - 80K
<60K
60K - 80K
100K - 140K
<60K
80K - 100K
100K - 140K
60K - 80K
<60K
60K - 80K
>140K
>140K
<60K
>140K
<60K
100K - 140K
<60K
80K - 100K
100K - 140K
<60K
<60K
60K - 80K
<60K
80K - 100K
100K - 140K
100K - 140K
100K - 140K
60K - 80K
>140K
60K - 80K
60K - 80K
60K - 80K
80K - 100K
<60K
100K - 140K
100K - 140K
100K - 140K
60K - 80K
100K - 140K
>140K
>140K
>140K
100K - 140K
100K - 140K
<60K
>140K
>140K
>140K
>140K
<60K
>140K
>140K
100K - 140K
>140K
>140K
>140K
>140K
60K - 80K
>140K
60K - 80K
80K - 100K
>140K
>140K
>140K
>140K
>140K
>140K
>140K
<60K
>140K
>140K
100K - 140K
>140K
>140K
>140K
>140K
>140K
>140K
>140K
<60K
>140K
>140K
60K - 80K
>140K
>140K
80K - 100K
100K - 140K
80K - 100K
60K - 80K
>140K
100K - 140K
>140K
80K - 100K
<60K
60K - 80K
>140K
60K - 80K
60K - 80K
60K - 80K
100K - 140K
80K - 100K
60K - 80K
100K - 140K
>140K
60K - 80K
80K - 100K
100K - 140K
100K - 140K
80K - 100K
>140K
>140K
100K - 140K
100K - 140K
100K - 140K
100K - 140K
80K - 100K
80K - 100K
100K - 140K
80K - 100K
100K - 140K
100K - 140K
100K - 140K
80K - 100K
>140K
100K - 140K
80K - 100K
100K - 140K
100K - 140K
100K - 140K
>140K
>140K
100K - 140K
100K - 140K
60K - 80K
80K - 100K
100K - 140K
<60K
<60K
100K - 140K
<60K
100K - 140K
100K - 140K
100K - 140K
60K - 80K
60K - 80K
80K - 100K
80K - 100K
100K - 140K
>140K
>140K
<60K
100K - 140K
100K - 140K
>140K
100K - 140K
100K - 140K
60K - 80K
80K - 100K
>140K
80K - 100K
<60K
<60K
>140K
80K - 100K
100K - 140K
>140K
>140K
<60K
>140K
<60K
60K - 80K
60K - 80K
